Iteration 0: Best Performance: 1.0347286265172941, Best Sequence: [True, False, True, np.True_, False, True, False, True, False, np.True_, np.False_, np.True_, np.True_, True, False, True, np.False_, True, np.False_, np.False_, np.False_, np.False_, np.True_, False, np.False_, np.True_, True, False, True, np.False_, np.False_, np.False_, np.False_, np.True_, np.False_, np.False_, False, False, np.True_, True, True, np.True_, np.False_, True, np.True_, np.True_, False, True, True, np.False_, np.False_, np.False_, True, False, True, True, True, True, False, np.True_, np.False_, True, True, True, True, np.False_, False, np.True_, np.True_, np.False_, np.False_, np.False_, False, False, np.False_, True, True, np.True_, np.True_, True, np.False_, True, False, False, False, True, np.False_, True, np.False_, True, True]
Iteration 2: Best Performance: 1.0494398015570472, Best Sequence: [False, False, True, np.False_, False, True, True, True, False, np.False_, np.False_, np.False_, np.True_, True, True, False, np.True_, True, np.False_, np.False_, np.False_, np.False_, np.False_, False, np.False_, np.False_, True, True, True, np.True_, np.False_, np.False_, np.True_, np.True_, np.False_, np.True_, False, True, np.True_, True, False, np.True_, np.False_, True, np.False_, np.True_, False, False, True, np.False_, np.False_, np.False_, False, True, False, True, True, False, False, np.False_, np.False_, False, True, True, True, np.True_, False, np.False_, np.False_, np.True_, np.False_, np.False_, False, True, np.False_, True, True, np.True_, np.False_, False, np.False_, False, False, False, True, False, np.False_, True, np.False_, False, False]
Iteration 5: Best Performance: 1.0984405872549698, Best Sequence: [False, False, False, np.False_, False, True, False, True, True, np.False_, np.False_, np.True_, np.True_, True, True, False, np.True_, True, np.False_, np.False_, np.False_, np.False_, np.False_, False, np.True_, np.False_, False, False, True, np.False_, np.False_, np.False_, np.True_, np.False_, np.False_, np.True_, True, True, np.False_, False, True, np.False_, np.False_, False, np.True_, np.False_, True, False, True, np.False_, np.False_, np.False_, True, False, False, True, True, True, False, np.False_, np.False_, True, True, False, True, np.False_, True, np.False_, np.False_, np.False_, np.False_, np.False_, False, True, np.False_, False, False, np.True_, np.False_, False, np.False_, False, False, False, True, False, np.False_, False, np.True_, False, False]
Iteration 9: Best Performance: 1.1252079139201312, Best Sequence: [False, True, True, np.False_, True, True, False, False, False, np.False_, np.True_, np.False_, np.False_, True, False, True, np.True_, True, np.False_, np.False_, np.False_, np.False_, np.False_, True, np.True_, np.False_, True, True, False, np.True_, np.False_, np.False_, np.False_, np.False_, np.False_, np.True_, False, True, np.False_, True, False, np.False_, np.True_, True, np.True_, np.True_, True, True, True, np.True_, np.False_, np.True_, True, True, True, True, False, True, False, np.False_, np.True_, True, True, True, True, np.False_, False, np.False_, np.False_, np.False_, np.True_, np.False_, False, True, np.False_, True, False, np.True_, np.False_, False, np.False_, True, True, True, False, False, np.False_, False, np.True_, False, True]
Iteration 12: Best Performance: 1.1293581162061093, Best Sequence: [True, False, True, np.True_, True, True, False, True, False, np.False_, np.False_, np.True_, np.True_, True, True, True, np.True_, True, np.False_, False, np.False_, np.True_, np.True_, False, np.True_, np.True_, True, False, True, np.False_, np.True_, np.True_, np.True_, np.False_, np.True_, np.True_, False, True, np.False_, False, False, np.False_, np.False_, False, np.True_, np.True_, True, True, True, np.False_, np.False_, np.False_, False, True, True, True, False, False, False, np.False_, np.False_, True, False, True, True, np.True_, True, np.False_, np.False_, np.False_, np.False_, np.False_, False, False, np.False_, True, True, np.True_, np.False_, False, np.False_, True, False, False, False, False, np.False_, False, np.True_, True, True]
Iteration 35: Best Performance: 1.1764574063693878, Best Sequence: [False, False, True, np.True_, True, True, False, True, False, False, np.False_, np.True_, np.False_, False, True, True, True, True, np.True_, False, np.True_, False, np.False_, False, np.False_, np.True_, False, False, True, np.False_, np.False_, np.False_, np.False_, np.True_, np.False_, np.False_, False, True, np.True_, True, False, np.False_, np.False_, False, np.False_, np.True_, True, False, True, False, True, np.True_, True, False, True, True, False, True, False, np.False_, np.False_, True, False, True, True, np.True_, False, np.False_, np.True_, False, np.True_, True, True, True, np.False_, True, True, np.True_, np.True_, True, np.False_, True, True, True, True, True, np.True_, False, np.True_, True, False]
Iteration 0: Best Performance: 1.008630528747761, Best Sequence: [True, True, True, np.True_, False, True, False, True, False, np.False_, np.True_, np.True_, np.True_, False, True, True, np.True_, False, np.True_, np.False_, np.False_, np.True_, np.True_, False, np.True_, np.False_, True, True, False, np.True_, np.False_, np.True_, np.True_, np.False_, np.False_, np.False_, True, True, np.True_, True, False, np.True_, np.False_, False, np.True_, np.True_, True, True, False, np.False_, np.True_, np.True_, False, True, True, False, True, False, True, np.False_, np.False_, True, False, False, False, np.True_, False, np.False_, np.True_, np.False_, np.True_, np.True_, True, True, np.False_, False, False, np.True_, np.True_, False, np.True_, True, False, True, True, True, np.True_, False, np.True_, True, False]
Iteration 1: Best Performance: 1.0285755686744824, Best Sequence: [False, True, False, np.True_, True, True, True, True, True, np.False_, np.True_, np.True_, np.False_, True, True, True, np.False_, False, np.False_, np.False_, np.False_, np.True_, np.True_, False, np.True_, np.False_, True, False, False, np.True_, np.False_, np.False_, np.False_, np.False_, np.True_, np.True_, False, True, np.False_, False, True, np.False_, np.False_, True, np.True_, np.False_, False, True, False, np.False_, np.False_, np.False_, True, True, True, False, False, True, False, np.False_, np.False_, False, True, True, False, np.False_, False, np.False_, np.False_, np.True_, np.False_, np.False_, True, False, np.False_, False, False, np.True_, np.True_, False, np.True_, False, True, True, True, True, np.False_, True, np.True_, True, False]
Iteration 5: Best Performance: 1.0493115641094113, Best Sequence: [False, True, True, np.True_, True, False, False, True, False, np.False_, np.True_, np.False_, np.False_, True, True, True, np.True_, False, np.False_, np.True_, np.True_, np.False_, np.True_, True, np.True_, np.True_, True, False, False, np.True_, np.True_, np.False_, np.True_, np.True_, np.False_, np.True_, False, False, np.True_, True, False, np.False_, np.False_, True, np.False_, np.False_, False, False, True, np.True_, np.True_, np.False_, False, False, False, True, False, True, False, np.False_, np.True_, True, True, True, False, np.False_, False, np.False_, np.True_, np.True_, np.False_, np.False_, True, False, np.False_, False, True, np.True_, np.True_, False, np.True_, False, True, False, True, True, np.False_, False, np.True_, True, False]
Iteration 11: Best Performance: 1.0891616889307025, Best Sequence: [True, True, True, np.False_, False, True, False, False, False, np.True_, np.True_, np.True_, np.False_, True, True, False, np.True_, False, np.False_, np.True_, np.True_, False, np.True_, False, np.False_, np.False_, False, False, True, np.False_, np.True_, np.False_, np.True_, np.True_, np.False_, np.True_, True, True, np.False_, False, False, np.True_, np.False_, False, np.False_, np.False_, False, True, False, np.True_, np.False_, np.False_, False, True, True, False, False, True, False, np.False_, np.False_, True, True, False, False, False, True, np.False_, np.False_, np.False_, np.False_, False, True, False, np.False_, False, False, np.True_, np.True_, False, np.True_, False, False, True, True, True, np.False_, True, np.False_, False, False]
Iteration 20: Best Performance: 1.118588877174245, Best Sequence: [True, False, True, np.True_, False, True, True, False, False, np.True_, np.False_, np.False_, np.False_, True, True, True, np.False_, False, False, np.True_, np.True_, False, np.True_, False, np.False_, np.True_, False, False, True, np.True_, np.False_, np.True_, np.True_, np.True_, np.False_, np.True_, True, True, np.False_, False, False, np.True_, np.True_, True, np.True_, np.False_, False, False, True, np.False_, np.True_, np.False_, True, True, True, True, True, False, True, np.True_, np.False_, False, True, False, False, True, False, np.True_, np.True_, np.False_, np.False_, False, True, False, np.False_, True, False, np.False_, np.True_, False, np.True_, False, True, True, True, True, False, False, np.False_, False, False]
